#date-time(UTC) LST Az(deg) El(deg) sec(z)
2015/10/08-03:55:00 23:05:55  -11.4346 60.7001 1.1467
2015/10/08-04:00:00 23:10:56  -12.2164 60.5091 1.1489
2015/10/08-04:05:00 23:15:57  -12.9806 60.3057 1.1512
2015/10/08-04:10:00 23:20:57  -13.7265 60.0904 1.1537
2015/10/08-04:15:00 23:25:58  -14.4533 59.8634 1.1563
2015/10/08-04:20:00 23:30:59  -15.1606 59.6251 1.1591
2015/10/08-04:25:00 23:36:00  -15.8479 59.3759 1.1621
2015/10/08-04:30:00 23:41:01  -16.5147 59.1161 1.1652
2015/10/08-04:35:00 23:46:02  -17.1608 58.8460 1.1685
2015/10/08-04:40:00 23:51:02  -17.7858 58.5661 1.1720
2015/10/08-04:45:00 23:56:03  -18.3896 58.2766 1.1756
2015/10/08-04:50:00 00:01:04  -18.9721 57.9780 1.1795
2015/10/08-04:55:00 00:06:05  -19.5332 57.6706 1.1834
2015/10/08-05:00:00 00:11:06  -20.0728 57.3547 1.1876
2015/10/08-05:05:00 00:16:06  -20.5911 57.0308 1.1919
2015/10/08-05:10:00 00:21:07  -21.0880 56.6991 1.1965
2015/10/08-05:15:00 00:26:08  -21.5636 56.3601 1.2012
2015/10/08-05:20:00 00:31:09  -22.0182 56.0140 1.2060
2015/10/08-05:25:00 00:36:10  -22.4519 55.6612 1.2111
2015/10/08-05:30:00 00:41:11  -22.8650 55.3020 1.2163
2015/10/08-05:35:00 00:46:11  -23.2576 54.9368 1.2217
2015/10/08-05:40:00 00:51:12  -23.6300 54.5659 1.2273
2015/10/08-05:45:00 00:56:13  -23.9825 54.1896 1.2331
2015/10/08-05:50:00 01:01:14  -24.3154 53.8082 1.2391
2015/10/08-05:55:00 01:06:15  -24.6291 53.4220 1.2453
2015/10/08-06:00:00 01:11:16  -24.9238 53.0313 1.2516
2015/10/08-06:05:00 01:16:16  -25.1999 52.6364 1.2582
2015/10/08-06:10:00 01:21:17  -25.4577 52.2375 1.2649
2015/10/08-06:15:00 01:26:18  -25.6975 51.8350 1.2719
2015/10/08-06:20:00 01:31:19  -25.9197 51.4291 1.2790
2015/10/08-06:25:00 01:36:20  -26.1247 51.0201 1.2864
2015/10/08-06:30:00 01:41:20  -26.3129 50.6082 1.2940
2015/10/08-06:35:00 01:46:21  -26.4844 50.1937 1.3017
2015/10/08-06:40:00 01:51:22  -26.6398 49.7768 1.3097
2015/10/08-06:45:00 01:56:23  -26.7793 49.3578 1.3179
2015/10/08-06:50:00 02:01:24  -26.9033 48.9369 1.3263
2015/10/08-06:55:00 02:06:25  -27.0122 48.5142 1.3349
2015/10/08-07:00:00 02:11:25  -27.1062 48.0901 1.3437
2015/10/08-07:05:00 02:16:26  -27.1857 47.6648 1.3528
2015/10/08-07:10:00 02:21:27  -27.2510 47.2384 1.3621
2015/10/08-07:15:00 02:26:28  -27.3025 46.8111 1.3716
2015/10/08-07:20:00 02:31:29  -27.3404 46.3832 1.3813
2015/10/08-07:25:00 02:36:29  -27.3650 45.9549 1.3912
2015/10/08-07:30:00 02:41:30  -27.3767 45.5263 1.4014
2015/10/08-07:35:00 02:46:31  -27.3758 45.0976 1.4118
2015/10/08-07:40:00 02:51:32  -27.3624 44.6690 1.4225
2015/10/08-07:45:00 02:56:33  -27.3370 44.2407 1.4333
2015/10/08-07:50:00 03:01:34  -27.2997 43.8128 1.4445
2015/10/08-07:55:00 03:06:34  -27.2509 43.3856 1.4558
2015/10/08-08:00:00 03:11:35  -27.1908 42.9592 1.4674
2015/10/08-08:05:00 03:16:36  -27.1196 42.5337 1.4792
2015/10/08-08:10:00 03:21:37  -27.0376 42.1093 1.4913
2015/10/08-08:15:00 03:26:38  -26.9450 41.6862 1.5036
2015/10/08-08:20:00 03:31:39  -26.8421 41.2645 1.5162
2015/10/08-08:25:00 03:36:39  -26.7290 40.8444 1.5290
2015/10/08-08:30:00 03:41:40  -26.6061 40.4259 1.5421
2015/10/08-08:35:00 03:46:41  -26.4735 40.0094 1.5554
2015/10/08-08:40:00 03:51:42  -26.3314 39.5948 1.5690
2015/10/08-08:45:00 03:56:43  -26.1800 39.1824 1.5828
2015/10/08-08:50:00 04:01:43  -26.0195 38.7723 1.5969
2015/10/08-08:55:00 04:06:44  -25.8501 38.3646 1.6112
2015/10/08-09:00:00 04:11:45  -25.6721 37.9594 1.6257
2015/10/08-09:05:00 04:16:46  -25.4855 37.5569 1.6406
2015/10/08-09:10:00 04:21:47  -25.2905 37.1572 1.6556
2015/10/08-09:15:00 04:26:48  -25.0874 36.7604 1.6709
2015/10/08-09:20:00 04:31:48  -24.8763 36.3667 1.6865
2015/10/08-09:25:00 04:36:49  -24.6573 35.9761 1.7023
2015/10/08-09:30:00 04:41:50  -24.4306 35.5889 1.7183
2015/10/08-09:35:00 04:46:51  -24.1965 35.2050 1.7346
2015/10/08-09:40:00 04:51:52  -23.9549 34.8247 1.7511
2015/10/08-09:45:00 04:56:52  -23.7061 34.4481 1.7678
2015/10/08-09:50:00 05:01:53  -23.4503 34.0752 1.7848
2015/10/08-09:55:00 05:06:54  -23.1875 33.7061 1.8020
2015/10/08-10:00:00 05:11:55  -22.9179 33.3411 1.8194
